Symbol,Name,LastSale,IPOyear,MarketCap,Sector,Industry,Exchange
ETFC,E*TRADE Financial Corporation,50.66,,12879750830.26,Finance,Savings Institutions,NASDAQ
SSP,E.W. Scripps Company (The),18.46,,1489214442.3,Consumer Services,Broadcasting,NASDAQ
EGBN,"Eagle Bancorp, Inc.",54.15,,1859977989.6,Finance,Major Banks,NASDAQ
EWBC,"East West Bancorp, Inc.",50.25,,7284208242.0,Finance,Major Banks,NASDAQ
EBAY,eBay Inc.,31.0,1998.0,29847643169.0,Miscellaneous,Business Services,NASDAQ
EBIX,"Ebix, Inc.",54.29,,1657069185.21,Technology,EDP Services,NASDAQ
SATS,EchoStar Corporation,39.5,,3801287674.5,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
EDIT,"Editas Medicine, Inc.",26.14,2016.0,1249758366.6,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
EHTH,"eHealth, Inc.",46.25,2006.0,897549052.5,Finance,Specialty Insurers,NASDAQ
ESLT,Elbit Systems Ltd.,123.05,,5260779045.1,Capital Goods,Military/Government/Technical,NASDAQ
ERI,"Eldorado Resorts, Inc.",44.38,,3439450000.0,Consumer Services,Hotels/Resorts,NASDAQ
ESIO,"Electro Scientific Industries, Inc.",29.99,,1029098362.83,Miscellaneous,Industrial Machinery/Components,NASDAQ
EA,Electronic Arts Inc.,92.52,,27952946953.92,Technology,Computer Software: Prepackaged Software,NASDAQ
EFII,"Electronics for Imaging, Inc.",24.45,1992.0,1074127888.95,Technology,Computer Communications Equipment,NASDAQ
ENTA,"Enanta Pharmaceuticals, Inc.",76.9,2013.0,1493701678.1,Health Care,Major Pharmaceuticals,NASDAQ
ECPG,Encore Capital Group Inc,28.48,,878670029.44,Finance,Finance Companies,NASDAQ
WIRE,Encore Wire Corporation,52.9,1992.0,1104506929.2,Capital Goods,Metal Fabrications,NASDAQ
ENDP,Endo International plc,9.7,,2176144172.0,Health Care,Major Pharmaceuticals,NASDAQ
EIGI,"Endurance International Group Holdings, Inc.",7.72,2013.0,1110563672.56,Technology,Computer Software: Prepackaged Software,NASDAQ
ESGR,Enstar Group Limited,174.57,,3748284817.53,Finance,Property-Casualty Insurers,NASDAQ
ENTG,"Entegris, Inc.",30.04,2000.0,4245585673.24,Consumer Non-Durables,Plastic Products,NASDAQ
EFSC,Enterprise Financial Services Corporation,41.34,,943151388.66,Finance,Major Banks,NASDAQ
PLUS,ePlus inc.,75.12,1996.0,1029499618.08,Technology,Retail: Computer Software & Peripheral Equipment,NASDAQ
EQIX,"Equinix, Inc.",374.67,2000.0,30119908260.33,Consumer Services,Real Estate Investment Trusts,NASDAQ
ERIC,Ericsson,8.55,,2666625838.65,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
ERIE,Erie Indemnity Company,142.95,,7474836630.6,Finance,Specialty Insurers,NASDAQ
